0
0
10000
2
0
40
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2
0,1

277 223
264 236
264 236
227 273
255 245
254 246
252 248
213 287
230 270
249 251
279 221
237 263
229 271
206 294
229 271
235 265
204 296
290 210
262 238
240 260
302 198
236 264
237 263
270 230
261 239
233 267
243 257
252 248
263 237
205 295
254 246
207 293
255 245
227 273
233 267
261 239
244 256
245 255
236 264
248 252

259 241
265 235
262 238
210 290
253 247
223 277
234 266
203 297
249 251
255 245
271 229
216 284
253 247
209 291
228 272
225 275
232 268
267 233
263 237
236 264
287 213
242 258
217 283
260 240
249 251
214 286
246 254
267 233
270 230
234 266
253 247
234 266
274 226
243 257
202 298
271 229
244 256
235 265
239 261
241 259

1


