1
0
10000
2
0
40
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2
0,1

263 237
293 207
199 301
235 265
193 307
257 243
278 222
269 231
239 261
281 219
243 257
237 263
202 298
257 243
236 264
238 262
289 211
208 292
286 214
262 238
281 219
288 212
276 224
295 205
217 283
218 282
263 237
263 237
243 257
239 261
264 236
264 236
257 243
249 251
280 220
269 231
229 271
311 189
253 247
218 282

249 251
293 207
219 281
216 284
177 323
267 233
269 231
242 258
251 249
260 240
213 287
222 278
194 306
257 243
221 279
210 290
279 221
200 300
289 211
240 260
267 233
275 225
283 217
319 181
215 285
227 273
243 257
240 260
243 257
259 241
227 273
245 255
239 261
250 250
305 195
276 224
247 253
284 216
254 246
202 298


261 239
277 223
268 232
216 284
276 224
278 222
248 252
246 254
255 245
225 275
245 255
248 252
243 257
269 231
262 238
235 265
233 267
237 263
269 231
245 255
246 254
243 257
224 276
265 235
262 238
260 240
277 223
257 243
239 261
233 267
250 250
261 239
253 247
229 271
236 264
240 260
221 279
230 270
247 253
249 251

1


